kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,1.087,0.157,-0.142,5779,0.55,0.08,-0.07,103,9579641,3.436,0.04,0.7632441764877422,0.09755366415567357,0.9664680066589332,0.04,0.9278092863925758
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,1.087,0.157,-0.142,5779,2.94,0.43,-0.38,101,9579641,5.412,7.1e-06,0.9984999715474705,3.277448699358631e-16,1.0,7.1e-06,0.9999929
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,1.087,0.157,-0.142,5779,1.79,0.26,-0.23,102,9579641,7.126,5.1e-05,0.9984734446428679,0.00011378637072291414,0.9999998260134391,5.1e-05,0.9999488260223124
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,2.35,0.17,-0.08,973,5456651,11.763,4e-05,0.9984728000346195,0.00013288613424320295,0.9999997967188775,4e-05,0.9999597967270087
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,2.37,0.17,-0.09,1007,5456651,56.228,0.00072,0.9847940357499071,0.04895956631067787,0.9992051098121298,0.00072,0.9984856821330651
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.1420000000000001,0.33299999999999996,-0.222,5942,4.56,1.33,-0.88,680,7938496,13.81,0.046,0.998477963823179,0.00012068630015226822,0.9999998160088726,0.046,0.9539998244724643
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.541,0.107,-0.107,3950,4.87,0.97,-0.96,681,8013419,12.733,0.06,0.9984999715474705,1.9943984301612698e-20,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.509,0.036000000000000004,-0.05,3960,4.78,0.34,-0.47,682,8018547,83.925,0.0052,0.9984999715474696,1.7204276566842458e-11,0.9999999999999741,0.0052,0.9947999999999743
8039892,K00903.01,1,CANDIDATE,1.0,5.007316661,435.91187,6.96,1.75,-0.62,0.077106,0.001757,-0.00061,0.8270000000000001,0.20800000000000002,-0.07400000000000001,5865,6.96,1.75,-0.62,683,8039892,5.007,8.5e-09,0.9984999715474705,1.3435297364791772e-41,1.0,8.5e-09,0.9999999915
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6459999999999999,0.043,-0.02,4500,1.85,0.13,-0.05,684,8150320,2.211,0.0001,0.9982877768124518,0.0004625123547735162,0.9999992063502718,0.0001,0.9998992064296368
